text,sentiment
 yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,-1
 yay about breaking 200!,1
 bahah sadly I am not,-1
 i always have those for my Champions League parties  Tis awesome,1
" well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",1
 thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,-1
"Playin City of Villains, wishin my buddies were playin with me.....",1
" yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",1
 I liked it.  Did you record it yourself?  If so you have a very soothing voice.,1
" Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",1
 you`re the absoute best,1
 Welcome!,1
"just got home from a nice party, just not tired yet",1
Now I have a sunburn,-1
I have the Job  this is a nice day it can not be better,1
I wish I could go to #BEA this weekend.,1
 love your books,1
ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,-1
Im Slowing on My Tweets..Cuase I Lost My Phone,-1
 well thank your phone for me.,1
 why would they take a photo with stuffed animals?! that`s pretty funny,1
tikcets are only ÃÂ¯ÃÂ¿ÃÂ½91...each...BUT I SO WANT TO GO,1
 Happy Mothers Day,1
 It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,-1
"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",-1
"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",1
just set up a new computer again. 15min. I love Norton Ghost.,1
Ahhh my mommie got me new sheets for my bed  so comfy,1
is pretty dang tired. but chambers class is for napping.,-1
i have to poop...   is hogging the shitter,-1
Happy muthath`s day to all moms!!! I salute you!,1
Hahaha! Alright  ..,1
 Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,1
 good to know   thanks,1
" E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",1
 that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,1
 oh i love sunday mornings like this - mum just made scrambled eggs on toast,1
"hate working when its sunny,boohoo",-1
Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,-1
Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,-1
_chick haha. I completely agree,1
Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,1
" many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",-1
it`s nice to leave the office when the sun is still up,1
I will miss the soccer moms,-1
just watched yes man. bahaha. that movie is messed up,-1
 Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,-1
" Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",-1
Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,-1
 glad to know that the ad display problem was due to a firewall config at yr office. phew!,1
 woot!,1
Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,1
St joe is dirty.,-1
I hate my life,-1
sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,-1
 ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,-1
just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,-1
crying real tears,-1
 Panchito`s burfday party tonight... wish you were here kiddo!,1
the best things in life are free  x,1
misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,1
I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,-1
 that is a bummer,-1
http://twitpic.com/665jw The racoons ate our bread!,-1
Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,1
No launch today. Teacher changed plans and we watched a stupid move about tesla,-1
  it`s very pleasant. i sooo rarely just have time to kill...,1
 thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,1
__O lol but tiz a good song,1
"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",-1
_Wright THANK YOU! 'Return of the Mack' is THE jam!,1
Ready for this saddenning depressing dullful upsetting dreadful weekend.,-1
sorry for my lack of tweets  ive been buzy. new vid this saturday!!,-1
" I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",1
going to bed  cant take thiss any longeerr maan. [U],-1
_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,1
Spent the last hour signing yearbooks. I`ll miss you guys!,-1
And I just love every little thing about you...,1
My mobile has stopped recieving text messages AGAIN. Stoooopid thing,-1
Had an amazing night with my favorite lady friend,1
_Oyler Poor little woman with her smushed in head,-1
is fixin to clean the house for my mom for mother`s day,1
 Hey! That`s my school! I hate that place.,-1
 i did i only got 3 stars on the pre wash then failed the rince,-1
MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,1
I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,-1
", goodnight",1
"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?",-1
" but i do emily ahahha you scare me, so it would work",-1
should not have waled past the Quad! I want to be outside having fun.,1
i think the food i ate made me sick.. i no feel so good,-1
"Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",1
Just wants to stay in bed all day but has to go to work instead  sux,-1
chillen trying to figure this thing out gettin drunk,1
Filming at a carnival for my music video... It reminds me of the Cherry Festival that I used to go to back home... Ahhh memories...,1
I`m siiiiiickkk  I dun feel good!!,-1
 Propellerheads has been on my harddrive for a long while. Just got my music repo back in shape this WE and felt nostalgic,1
Glorious sunny day in London town.. I`m in drama school fighting people with swords while protecting my romantically structured face,1
_89 I feel so sorry for her  hope she dnt cry 2nd time,-1
would wish the severe migrains would stop!!! doc`s prescriptions arent working,-1
"09/09 +full moon+ my lovely friends and family= my b-day wish came true;)<3 In addition,gray matters is one of the cutest movies ever!!",1
My Life Would Suck Without You - Kelly Clarkson,-1
" you should so host the next logies, i only laughed at your bit really",1
__joy i feel like red lea now,1
thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,-1
Is miserable  i feel like im gona cry  sux!,-1
 i know they are delicious.miss germany but like holland as well as we used to shoppin there at weekends.lol,1
" LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?",1
 Hope you did great - you certainly spent enough time studying.,1
Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,-1
" I need botox work on the lips if I`m going to change my name to Angelina Jolie, but it`s a thought! Sad though about the racism",-1
Morning all! Have a GREAT DAY! Off to school I go,1
"now, in a weird mood  muahaz",-1
 congrats! Photo of dre?,1
"#SanctuarySunday  thanks for joining on #SanctuarySunday, follow more Sanctuary people to keep up to date on the tweets!",1
"Done at Disneyland, kid`s knocked out, stopped by the hotel bar and grabbed a grey goose & tonic on the way up...peace",1
" Oh, and a very good review",1
_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,-1
I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,-1
 its hilarious,1
 I love the guy that was standing behind me,1
Bout to hit the sack...got **** to do tomorrow. Happy mothers day MOM!,1
lost my DC hat ..,-1
 I am soo excited about your pasadena seminar...if only i can find the confermation email,1
Ugh I don`t feel well again all of a sudden,-1
I want a new phone  I`ve seen too much cellphone commercials (,-1
 we`ll test that theory  with no right arm to strum with.  Got a feelin I`ll be humming my new tunes for a while,-1
 http://twitpic.com/4vuuy - That`s so cool.,1
school. 39 days !!! so exited. Amazing premier ,1
  tis very useful indeed esp. for newbies like me!,1
is relaxing after working on Mothers Day.  Oh well. A good day had.  Hope you are all well,1
 yup!  Now I can join in on the nin access fun!,1
 unfair  I wanna go too.,-1
Download movie  'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie,1
Jus got back from a run up sunset blvd! My cuzin tried to kill me my legs are still movin and I`m sittin down!!,-1
" Aww, that`s sad.  I miss seeing you guys on the big screen.",-1
" eeeeep so jealous ;) I`m at work  um, how can u receive Viva? Do they broadcast it online? :plz:",-1
 Thank you so much phaoloo !!!!,1
 the hotel should be thankful,1
"Watching GH. I feel so bad for Carly.  OMG, so **** up.",-1
 rofl that`s what we like to hear,1
"Ok I`m frustrated, there is hella dust between the screens of my blackberry",-1
IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,-1
 thanks for following,1
" Well, good luck then.",1
at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,-1
Arghhhhhhhhh... i can`t keep up with these TwitterBones peeps,-1
making german apple slice  nom nom nom,1
My tummy hurts,-1
Anybody else experiencing painful slowdowns with facebook?,-1
The poor Pirate had out his last wisdom tooth and is looking really peaky.,-1
Mozzer cancelled tonight by the looks of it.,1
"waiting for aaron to get into town, and then leave him for work. booo",-1
is going to bed soon. happy mothers day to all the mothers  <333 ryan less than 3 weeks :],1
"bored bored bored! wish i had something to do tomorrow, especially with the weather we`re to have!  not fair",-1
 well even with her breakdown she was better than the other acts unfortunately! Britain`s got very little talent,-1
" Sadly, I can`t view that site due to region restrictions",-1
"It`s 20:50 hs and i`m still at the office...really tired,wanna go home!",-1
Aly & AJ new album this summer. YAY!,1
_day26 ~ Awwwww have fun with the fam boo boo,1
@ lovelytrinkets I like the way you worded that about Rocky Road,1
Mexican coca cola in a bottle. New favorite thing.  No high fructose corn syrup....  sugar is so awesomely old school.,1
Got people don`t let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.,-1
 Thanks for the hint.  http://tinyurl.com/chtx7e.,1
" u welcome babe, kill the show! Yuuupp!",1
 I was never a good stereotypical teen,-1
I love my Maitu. N she loves me. Happy mothers day mama!,1
 i am so sorry,-1
i have problems wih pizza..ii love it too much..i`m so addicted to pizza  and Dot Dot Curve. >,1
So tired.,-1
had a lovely breakfast with mum...yummy pancakes,1
 Yay! have fun,1
 Why thank you... Us Mami`s are bringin` sexy back...,1
 lucky! that`s awesome,1
"Oh god, a moth was living in a **** power outlet!  (Actually, my PowerSquid.)",-1
"I love  very much  I called him, but he was talking to other fans  I love you a lot Mitchel! I`ll see u in El Cajon. June 7",1
I misses my bed  so sleepy!,-1
"Woo! Two days till awesome gig, one day till Uni is finished for 12 days  #gigs #3yp",1
Just found mj mouse flats at DJs. Of course there are none left in my size,-1
I`m dreading hearing even worse news tonight,-1
haappy bank holiday  2 weeeeks. aah!,1
says my new layout is so cute x) see the cuties ? hahahah  http://plurk.com/p/suqp6,1
" Good night, Rob. Sleep well. Safe travels tomorrow!",1
 i know i suck.  my data plan is weak sauce.,-1
 dear oh dear.....,-1
playing at my old school playground still the same except them lame **** got rid of the tire swing,-1
happy mommah`s day to your moms  http://plurk.com/p/stqya,1
" Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x",1
 Cant wait for DTE in Michigan this summer you guys are great look for me in the customized NKOTB Track Jacket,1
 nope i have a fifth generation ipod classic  it likes to be dumb,-1
 meetings are overrated.,-1
 I love the smell of procrastination in the morning... oder so.,1
 I considered being a nurse when I was younger but I really don`t think I could cope if a baby died,-1
 I know.  I am definitely going to try and see Up this weekend.,1
 Nice!!!!!!!! I WILL be there,1
Oh No!!!! I must be gettin old!!!! My mom use to watch this show....I miss her,-1
" lol that just totally made me laugh, which made my day",1
tonight was fun,1
Good morning!  Just took the longest shower ive ever taken in my life. Like 45 to 50 min shower!! Woah. lol,1
"Allergies  sun is out, wearing shorts.  Stuck with my advisory the whole day.... This should be boring. Except fun. If people make it fun?",-1
Good  morning! Just went to bed it feels and already morning...goes fast! Now i am going to the gym soon. Have a nice day!,1
no internet for a week or longer,-1
Jesus Christ meadowhall could do with better air con! Too hot,-1
 I sure she can,1
 i want to gooo,1
evryone come here http://www.blogtv.com/People/GinaNicole2 were spamming so much and blogtv is glitching and it might work,-1
Ready for tomorrow. My mommy will get her gift for Mother`s Day. Hope she LOVES it!,1
Ugh fun concert  screen cracked on phone again because it fell... =\,-1
"So happy, my VStudio shortcuts are backkk",1
 can`t wait to hear the evp! And cuuuute picture.,1
Headed to verizon. Praying that pinkberry is going to make it.,1
Awaiting reply from two projects. One cancelled.,-1
 Have You Watched You Belong With Me?   By My Lovely Sister ) Kiddin.,1
"Well, Sacramento, I hope you appreciate Rivkah Sass & treat her well. I`ll be sitting here in Omaha, pouting",1
Leaving the beach .. Having a great day with vicente .. We needed this time together,1
"Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot",-1
just left & already misses Nashville  be back sunday,-1
" you`re a busy Bob, I`m jealous. I`m not sure I can even afford to go meet John de Lancie and Leonard Nimoy",-1
I am living in a country where the government is ALWAYS a circus show ... sad but true...,-1
 yep  but I`m going better now,1
Fun is being had.,1
$#@! My nose stud fell out and I can`t find it  Looks like I`ll have to head into Amsterdam today and get a new one,-1
_other Excellent analogy,1
Good morning tweeps. Busy this a.m. but not in a working way,1
 FOLLOW ME BABY U SAID N DA CHAT U WILL  LUV YA GOODNITE,1
got a rad new t-shirt from my aunt. Made from some cool shiny shiny pink material.,1
 it was an awesome talk  find it very true that i am watching the ruby community closely,1
 hahaha niene ur soo smart.! lmao i think that is who its by..  good lookin.. whts up gurlie?? i come home this weekend.!,1
"I hereby announce that I am... employed! Couldn`t be happier, Alhamdulillah!",1
"i juz registered my cp in twitter, but my tweets wont go thru? Argh..Hmm wanna follow my idols lyk  away from the PC..",-1
" Glad to hear you made it out, I hear that place used to be it`s own country  Looking forward to your arrival!",1
So many farewell parties! sad to see people leaving ..,-1
 - Still a pity it comes with no lamb though,-1
"TAKE THAT, TAKE THAT!!!! IN YOUR FACES!!!!!!!!!!!!  Robbie won!",1
 no other reason? I wonder if she loves you,1
 happy birthday ness!!,1
feels ..my cousin is a monkey  http://plurk.com/p/x23pa,-1
Don`t you hate it when you`re left with one slice of bread left in the bag? Half sandwich.,-1
Loves random acts of kindness and laughter,1
"Gha, off to work - hopefully traffic has cleared up by the time I get there!!",1
Just watched another episode of JONAS. Is it better than Hannah Montana? Very much true!,1
Going to meet the new family I`m babysitting for... Wish I was still sleeeeping,1
 Hi Heather. I dont know why... but I just saw your messages from April!! Have not been very twitter friendly...,-1
 I know right  Poorpoor girl! It shows why they shouldn`t put young people in competitions like this though (.....) -,-1
" wowie wooie someone updated their twitter without me having to remind you. I`m not even mad,I`m impressed.  how was the lasagna ?",1
Today is another good day for some less extreme experiences... Anyone a fan of #24? I`m watching season 4 now,1
" i was going tonight, but you never wrote me back with the info  im sososo sad...",-1
 still not 100%    im sick of being sick!,-1
wat a stressful week i jus hope everything falls into place 4me,-1
with hubby at the dentist ready to hold his hand  and getting nervy about potentially buying a car tomorrow,-1
Aww I got to see my 1st grade teacher`s last day before she retired,1
" For sure you should continue to Tweet WHILE on conf call, WHILE worrying about cat and bee.",-1
"LOL! Made a huge mess of my school shirt, was using charcoal sticks in 2D art",-1
BGT made me cry tonight,-1
"gawww, why is facebook being so slow?",-1
 im cool  cant wait to hear these stories xoxo,1
Also I was conviced to do a happy dance and then told it was the most adorable happy dance ever,1
i feel in love with pizza girl... now i eat pizza everyday,1
 11 30s way early! anyway nigth night  love you!,1
" If i say PLEASE REPLY TO ME DOUGIE, will you do it? I double dare you",-1
" MUAHAHAHHAHAHA...   well, maybe they think I`m crazy or something. I haven`t scared  yet though",1
today got her POP! t-shirt & lovess ittt  haha x,1
"Perfect night. Best month of my life so far!! You my boo, ",1
 yayy  you`ll can help me im doing my english homeworks which i had to do during the holidays >.<,1
 hi ya demi! im glad ur back   http://twitpic.com/4vuuy i personally love the picture! haha,1
" Think you should do a tour in England, we dont got to see any aweomse people !!",-1
Is bummed out...i don`t have even one testimonial on Flickr.,-1
 I am sorry that you are feeling that way.,-1
yeah so Prom Night is now the Craft (good movie),1
 don`t go to logan square we`re pretty sure the shirt isn`t there  1 more philly local tmrw,-1
"    I am sending healthy, healing thoughts in the mumborg`s direction.",1
"Not at prom. Ha! Chinese, iced chai, and some old school pokemon. Good night",1
"Went on a short flight around the Geelong waterfront.  Surprised at how well I handled it, as I`m still exhausted from last weeks meetup",1
": I`ll keep y`all in my prayers but welcome back to TX  Hope you have a good,safe flight",1
Good morning scary world!,-1
"is back at working auditing away, time to make the hard decisions and be happy",1
 - ummmm. no comment. LOL. I actually have not watched GH in about a week.,1
 <3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,1
 Thankfully that face only shows up for photoshoots,1
" Don`t worry, the bizarre will find you",1
 Sorry - I have failed to grasp your meaning,-1
Extremely happy to see my new track 'The Awakening' featured on Indivibe   http://www.indivibe.com/vibe.php?city=1,1
"I love my mom! Happy Mother`s Day, mommies",1
Just Chilling after MCFLY last night! ABSOULUTELY INCREDIBLE! =D i love them!,1
"God, why can`t I be at #asylum? Really. I never get to do anything cool!",-1
"working on mothers day slideshow, cake, card, and balloons  she deserves the best!",1
" Thanks, hope you have a good one",1
" - You too, thanks for completing  Calvin Appreciated",1
"Morning everyone sorry for going early last night had bad news, felt totally ****   Today is a new day",-1
 Hahah! That was the best! Thank god for Terry he was laughing so hard. I miss him   I remember racing trucks with him that ...,1
 KILL IT JASMINE! Haven`t talked to you for ages.,-1
got an awesome hair cut todayyyy  it looks so hottt haha doing homework,1
 someone`s a sweet tooth  i was dying for somethin sweet so i`ve attacked the chock coated tiny teddies all i could find lol,1
my apple-mouse doesn`t work on my shiny red coffee table...,-1
" (2) in commentary  , I was with her, was sad, very sad",-1
Yet another good weekend with someone. Sigh. Man I like the boy..,1
"about to head to the Strand, goodnight",1
 hiya! been looking for you1,1
" Aw, that stinks, I`m sorry.",-1
My comp is being slo w,-1
: unfortunately not.  I have to take it to a repair shop or replace it.,-1
 : Come to VietNam to make a live Show Miley. there are so much fans love you at Viet Nam,1
" 'You guys could have fun in a cardboard box'.. I miss you already, bro.",-1
Josie`s out of surgery. She`s now officially unable to procreate. And She`s way out of it... Poor medicated baby,-1
I signed up for an account on a political website so I could post a comment but it isn`t working.,-1
_NigerianBoi thanks JT i also enjoyed it i will. r u following me? ill follow u back,1
 sorry 19/female/atl very lonely,-1
"Feeling awful, new medication is making me nauseous",-1
 inooo arent they just  i wanna just go down there now an meet kyle again.. im too obsessed its not fair!,-1
" If I could, I`d send California sunshine your way.",1
I need a present for my mom.  Could anybody help me ?!,1
" I am in Weirton Julie, way up North at the tippy top! LOL we don`t think southern WV folks like us too much.",-1
bad mood and i dont feel good. too bad no one cares,-1
" I love you so much.  Just got into my hiding spot, gonna go check out datalounge",1
"  youre diabetic?   so is my dad.  & i might be too, not sure.  are you still allowed to eat sugar throughout the day?",-1
I just really want to sleep butmy eyes won`t let me,-1
" Ian and I are going to a matinee tomorrow, or that`s the plan at least...it`s going to be too expensive for 3d at night",-1
" I know, but work is so boring. I prefer the  take on life",-1
 Gmorning Hermana! Thank you for your testimonial it is wonderful. Posted already.,1
"AHHH - Whatchu talkinÃÂ¯ÃÂ¿ÃÂ½ baby?  HAHAHA I canÃÂ¯ÃÂ¿ÃÂ½t believe youu:O heh, actually I can. Life is worth taking risks... http://tumblr.com/xs81qy54s",1
Off to enjoy a Hanami picnic at the cherry tree park. Hope the weather stays nice.,1
The comp deleted half my apps,-1
"In Whin Park on the swings, victory is all mine right now",1
Well it would seem that you can enter nine 0s if you are an Individual without a SSN/ITIN or EIN according to Apple.  Hurray!,1
 because its like ten times better than this place xD and its so beautiful and fun  and they have gold coast hot dogs!! xD,1
 oh you are too kind,1
" yeah, so quick! And I`m using the 5mm addi`s I bought on Sat and it makes it even smoother",1
"  ummm...last night when I DM`d you, you said it was a 'good' question.",1
" man, I am really sorry",-1
wow.. tomorrow and then it`s over. i`ll never see some of those people again. it`s kind of sad.,-1
NCAA Baseball Road 2 Omaha: South Carolina just hit a 3-run homerun. Dagger 2 my heart.    Mason 1 - South Carolina 3..,-1
" I send messages to greg all the time, no answer  its ok I still love o & a, goog luck with your move to Erie.",1
10.11PM~ todays a drag for me. so bored. im about to get into the romance book so i prob wont be on til the morn  night twitter babes ;),-1
"twitter fam, i`m about to hop back on AIM i went ghost on y`all lolz sowwy",-1
 i make them good girls go bad,-1
Sites that republish my blog`s feed often end up higher than my blog on Google search results,-1
oh yes! Level 40,1
my baby`s off on his adventure. 14.5 hours in the car up to Lake Ann Mi. I admit it. I cried a little when the truck pulled out...,-1
 http://twitpic.com/4uyn9 - I NEED THIS. RIGHT NOW. THIS IS ABSOLUTELY MINDDDD BLOWING  I love this. So much!,1
frustrated by my stupid iPhone I need a blackberry!!!!,-1
I`m still at the mothers day lunch at my uncles house. Having a nice time!,1
 Oh! I ate pizza last night too!  I stupidly feel closer to you somehow!,1
" Oh right,sorry,now i get ya,But still 3000 email`s,wow,cool",-1
? I had great time in Boston. Thanks to my baby girl.   http://plurk.com/p/rplmy,1
 my bad homie,-1
Good morning everyone,1
" love this one, especially the shoes  anyway, gmn punya acc lookbook ya? http://lookbook.nu/look/92920",1
good morning world,1
And ... Happy Mother`s Day to all Moms   You sure are the ? heart of mankind.,1
 lol that was a great movie,1
feels really sick.,-1
Hecks yeah. Jandy timsamlake is too rawesome!,1
**** internet jus cut me off!  was bout 2 shoot sum guys eye out  ~*~KANDI~*~,-1
Not only has it broken but it`s Monday!!Does this mean Monday can be fix`d?  ? http://blip.fm/~5jgio,-1
People at work are stressing me out.,-1
never trust someone else`s battery operated power tools when you`re in a hurry,1
 Lol Your tweets are so funny! I met you in Calgary! You`re awesome  Can`t wait for the next HP movie!,1
is off to work ... still 'recovering' from an amazing and beautiful weekend. Have I mentioned how incredible my friends are??,1
 so`s the smell of cigarettes and alcohol... at least *i * like it.,1
`s current goal is to lose 10 pounds by next tuesday! 120 here i come   soooo ready for Gatlinburg!,1
my best friends bought something which i really want.,1
" It depends on your goals & how much you want to spend  Cannondale, Specialized and Cervelo are all good brands.",1
My net died so yeah....  I`m sad now,-1
i dont know why i follow sme of the ppl that i do... they e anoying and boring. * note to self -unfollow peeps on monday morning,-1
Bad migrane and need to go to dancing tonight.... Not a good combination,-1
"Grinding Skyguard rep. This is less awful than I anticipated. Yet, still awful. Last tabard I need",-1
 i dunno if he saw it  happy birthday girl!,1
 awesome,1
 ****! I want to be at the beach in the sun,-1
OH. I am just so tired.,-1
"Well, my dog still isn`t at the shelter. I hope someone good has him",1
 Well tell me what fashion tips you need and I`m your woman  hehehe,1
" Hello there, Taylor  I MISS YOU. Its been 2 months </3",-1
i wear a lot of white  http://tinyurl.com/dlbltg,-1
 Always a good idea.,1
getting nails done!!! how relaxing! benji is only 24 hours away!!!!,1
" not here for long hun, head hurts",-1
All of a sudden I`m craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...,-1
 That it does  just wish more people would notice it,1
"Wish you were here, babe",1
This morning I rode behind a guy with a bird cage containing a plastic Tyrannosaurus rex attached to his bicycle. I couldn`t get a photo.,-1
"I love summer, but I oddly don`t want this school year to end.",1
 lolz at your modesty...***kix rox***...now all the gals will be lined up at your door,1
"morning, how is everone? sing to me  You tuck me in, Turn out the light, kept me safe and sound at night. (8)",1
i so can`t be bothered working tomorrow!,1
 kittens are cute then they grow up n become CATS,1
 .. Guess ol` Tom has another mission impossible ... some of this is like trying to prove innocence .. I didn`t get hugged,-1
 Hey I was scared last night at 3:17 because of you... and I had several bad nightmares,-1
 gawd. People still remember the preggers comment. Hate you!,-1
oh no my tweetdeck is malfunctioning :O il have web will its fixd,-1
 yeah freakin sucks!!,-1
#followfriday _1001 cuz ive never been added to anyone`s followfriday either  & cuz he`s got a cool picture,1
wishes that you would see not with your eyes but with your heart.  http://plurk.com/p/sv5bb,1
 Awwww   i`ve got some photos of cute bunnies,1
long day and i still have to mow the lawn,-1
 why has it been so long since i have talked to you let alone seen you?? it makes me sad,-1
Happy mothers day mom  ?,1
I want cookies for breakfast! Luckily I`m an adult and can do that!,1
Mowing #6. I hate my lawn,-1
 yeah.. I left cause my pc can`t run the client anymore. I had thought I would have a new one by now..,-1
Feeling bad for  profile pic,-1
movie then sleep! Today was good day  [{H!--D3ff}],1
is getting married in Vegas in November by an Elvis impersonator am so happy!!!,1
 tried to join the chat but the site would not let me sign in,-1
singing songs and filming movies  what i do best,1
Their songs make me want to cry..,-1
While driving u come across aggressive driving behaviour by another driver. U should... Chase the car 2 tell the driver how to drive,-1
 Wasn`**** totally awesome?  Seeing the rebooted crew was so nice!,1
"_d thats good to know, and I bet he looks just like you.",1
